username,tweetcreatedts,text,tweet_clean
qnthpspita,2021-12-16 23:47:53,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
fancok20,2021-12-16 23:47:52,Sugeng rawuh #Omicron https://t.co/GMgBN36veB,Sugeng rawuh
rani_reviani,2021-12-16 23:47:32,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
s3lllvv,2021-12-16 23:47:12,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
chocolatadisco,2021-12-16 23:47:08,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
intan_ays,2021-12-16 23:47:03,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
veroapri,2021-12-16 23:47:01,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
fassnote,2021-12-16 23:47:01,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
KuadranLima,2021-12-16 23:46:57,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
demenmekdi,2021-12-16 23:46:56,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
chasanahpcy,2021-12-16 23:46:56,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
achmadgustie,2021-12-16 23:46:47,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
denymarsita,2021-12-16 23:46:41,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
chaliysta,2021-12-16 23:46:36,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","Namun, disisi lain.. ringannya gejala dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya.."
hiyyvira,2021-12-16 23:46:22,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
northerncsl,2021-12-16 23:46:06,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷","Terkait , apakah Indonesia kecolongan lagi?Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat"
srinryti18,2021-12-16 23:46:05,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
ichandelieur,2021-12-16 23:45:53,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","Namun, disisi lain.. ringannya gejala dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya.."
ichandelieur,2021-12-16 23:45:42,"Kalo ringan dan kematian #omicron rendah mengapa harus khawatir? Yg menjadi masalah, dengan penularan yg lebih tinggi dari delta, maka orang akan sakit secara bersama2.  Orang tua,muda,dengan komorbid, belum vaksin. Maka ini akan meningkatkan kebutuhan RS.","Kalo ringan dan kematian rendah mengapa harus khawatir? Yg menjadi masalah, dengan penularan yg lebih tinggi dari delta, maka orang akan sakit secara bersama2. Orang tua,muda,dengan komorbid, belum vaksin. Maka ini akan meningkatkan kebutuhan RS."
LaporCovid,2021-12-16 23:45:34,"Mestinya tidak ada privilege apapun untuk karantina, apalagi ada ancaman #Omicron. 

Lha #Omicron saja tidak perlu pilih-pilih, mau hinggap di tubuh pejabat atau orang biasa 😷","Mestinya tidak ada privilege apapun untuk karantina, apalagi ada ancaman . Lha saja tidak perlu pilih-pilih, mau hinggap di tubuh pejabat atau orang biasa"
AdiiStyawan,2021-12-16 23:45:20,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
ichandelieur,2021-12-16 23:45:17,"Penelitian di Hongkong menunjukkan jumlah #omicron pada saluran napas &gt;70x lipat dibanding delta sehingga penularan lebih hebat, namun jumlahnya pada organ paru &lt;10x pada delta. Sehingga peradangan pada paru menjadi lebih ringan. https://t.co/Wjh4XtqBGD","Penelitian di Hongkong menunjukkan jumlah pada saluran napas &gt;70x lipat dibanding delta sehingga penularan lebih hebat, namun jumlahnya pada organ paru &lt;10x pada delta. Sehingga peradangan pada paru menjadi lebih ringan."
geekkboyy,2021-12-16 23:45:10,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
esokpasti,2021-12-16 23:45:08,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","Namun, disisi lain.. ringannya gejala dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya.."
leejn_no0,2021-12-16 23:45:05,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
esokpasti,2021-12-16 23:45:02,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
itsdory_,2021-12-16 23:45:02,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
ichandelieur,2021-12-16 23:45:01,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan.","Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan."
ichandelieur,2021-12-16 23:44:59,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
Saki_Jiy,2021-12-16 23:44:40,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
Alvin_j_putra,2021-12-16 23:44:09,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
PineksoRoyi1,2021-12-16 23:44:04,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷","Terkait , apakah Indonesia kecolongan lagi?Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat"
Zenoel12,2021-12-16 23:43:45,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
sso_hana,2021-12-16 23:43:39,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
shintanurialudm,2021-12-16 23:43:38,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
EkaFajar_M,2021-12-16 23:43:18,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
akmlsyn,2021-12-16 23:43:16,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
thejollyyyyy,2021-12-16 23:43:15,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
LaporCovid,2021-12-16 23:43:06,"Aturan karantina itu dibuat untuk segelintir orang-orang terhormat saja atau untuk keselamatan warga negara secara keseluruhan sih?

Kalau sudah bobol #Omicron, keselamatan seluruh warga negara jadinya terancam kan 🙃","Aturan karantina itu dibuat untuk segelintir orang-orang terhormat saja atau untuk keselamatan warga negara secara keseluruhan sih?Kalau sudah bobol , keselamatan seluruh warga negara jadinya terancam kan"
LaporCovid,2021-12-16 23:43:05,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷","Terkait , apakah Indonesia kecolongan lagi?Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat"
illuminationkey,2021-12-16 23:43:04,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
__yeonsu,2021-12-16 23:42:50,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
blackpxnguin,2021-12-16 23:42:19,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","Namun, disisi lain.. ringannya gejala dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya.."
itsrismafkm,2021-12-16 23:41:52,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
hai_tika,2021-12-16 23:41:47,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
dinadlestari,2021-12-16 23:41:45,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
RudiArdiansyah_,2021-12-16 23:41:13,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
samie_mawon,2021-12-16 23:40:57,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
_phian,2021-12-16 23:40:45,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
Kaaaa_Be,2021-12-16 23:40:23,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
eddferiyus,2021-12-16 23:40:17,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
enggarajipras,2021-12-16 23:40:12,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","Namun, disisi lain.. ringannya gejala dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya.."
qyouty,2021-12-16 23:39:58,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
gabrieladipr,2021-12-16 23:39:01,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
viraanthea,2021-12-16 23:38:29,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
schxrodinger,2021-12-16 23:38:14,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia.."
